^80^Kr  c   7.9         13.56    4.06  17.6       12.77   0.52  13.3
^100^Ru    +9.9 d       65.35    6.73  72.1       79.56   0.59  80.1
^101^Ru    17.7         10.40    1.09  11.5       12.67   0.09  12.8
^102^Ru    50.0         28.91    2.67  31.6       43.07   0.27  43.3
^104^Ru     2.5          1.49    0.10   1.6        1.44   0.01   1.4
Ru         37.3    2.2  21.91    2.19  24.1   1.3 28.69   0.20  28.9     2.3
^103^Rh    15.2          9.11    0.79   9.9       11.76   0.07  11.8
Rh         15.2    1.5   9.11    0.79   9.9   0.8 11.76   0.07  11.8     1.3
^104^Pd   +21.6 d       70.69    6.04  76.7       83.41   0.46  83.9
^105^Pd    15.7          9.11    0.79   9.9       10.64   0.06  10.7
^106^Pd    58.4         34.06    2.77  36.8       39.63   0.20  39.8
^108^Pd    74.6         43.37    3.27  46.6       50.27   0.24  50.5
^110^Pd     3.0          1.88    0.20   2.1        1.62   0.01   1.6
Pd         53.1    2.7  30.91    2.50  33.4   2.2 35.99   0.18  36.2     2.6
^107^Ag    16.6          0.40    0.00   0.4        0.05   0.00   0.1
^109^Ag    28.1         16.73    1.29  18.0       22.50   0.11  22.6
Ag         22.1    1.1   8.26    0.62   8.9   0.3 10.86   0.05  10.9     0.8
^108^Cd c   0.4          0.20    0.00   0.2        1.12   0.00   1.1
^110^Cd   +15.1 d       65.15    4.65  69.8       77.23   0.35  77.6
^111^Cd    38.0         15.84    1.09  16.9       24.83   0.11  24.9
^112^Cd    74.8         35.45    2.48  37.9       49.66   0.22  49.9
^113^Cd    43.2         23.37    1.58  25.0       28.38   0.12  28.5
^114^Cd    89.8         43.17    2.77  45.9       58.88   0.25  59.1
^116^Cd    17.0          9.60    1.39  11.0        8.67   0.09   8.8
Cd         69.6    4.9  34.70    2.41  37.1   2.5 45.85   0.20  46.1     4.0
^113^In c   0.0          0.00    0.00   0.0        0.01   0.00   0.0
^115^In    44.3         24.75    1.58  26.3       29.69   0.12  29.8
In         42.4    3.0  23.69    1.52  25.2   1.6 28.42   0.12  28.5     2.5
^114^Sn c   0.0          0.00    0.00   0.0        0.07   0.00   0.1
^115^Sn c   2.8          2.08    0.00   2.1        4.16   0.00   4.2
^116^Sn    96.2         59.60    3.47  63.1       68.00   0.27  68.3
^117^Sn    56.9         33.37    1.98  35.3       38.21   0.15  38.4
^118^Sn    80.6         50.89    2.97  53.9       55.13   0.22  55.4
^119^Sn    65.3         27.52    1.58  29.1       46.72   0.19  46.9
^120^Sn    84.5         58.51    3.27  61.8       62.43   0.23  62.7
^122^Sn    46.6         38.02    8.61  46.6       35.98   0.47  36.4
Sn         73.2   11.0  46.75    2.97  49.7   4.7 52.27 d 0.22  52.5     8.3
^121^Sb    41.4         28.12    1.58  29.7       30.81   0.11  30.9
^123^Sb     6.5          4.75    0.99   5.7        4.91   0.05   5.0
Sb         26.4    4.0  18.12    1.33  19.5   3.5 19.73   0.09  19.8     3.1
^122^Te    97.2         66.44    3.66  70.1       73.38   0.26  73.6
^123^Te    97.3         68.12    3.76  71.9       73.88   0.27  74.1
^124^Te    +0.3 d       71.29    4.65  75.9       77.83   0.31  78.1
^125^Te    22.2         15.74    1.09  16.8       17.33   0.07  17.4
^126^Te    44.9         32.87    2.08  35.0       36.18   0.14  36.3
^128^Te     3.8          1.39    0.10   1.5        3.25   0.01   3.3
Te         19.6    1.4  13.57    0.86  14.4   1.5 15.51 d 0.06  15.6     1.3
^127^I      4.7          4.26    0.30   4.6        3.78   0.01   3.8
I           4.7    1.0   4.26    0.30   4.6   1.0  3.78   0.01   3.8     0.8
^128^Xe    81.1         66.83    4.16  71.0       76.01   0.28  76.3
^129^Xe     2.8          2.57    0.20   2.8        2.76   0.01   2.8
^130^Xe    88.1         68.81    4.16  73.0       84.83   0.29  85.1
^131^Xe     6.7          5.35    0.30   5.6        6.46   0.02   6.5
^132^Xe    27.1         28.42    1.58  30.0       26.76   0.08  26.8
^134^Xe     3.6          5.25    1.98   7.2        3.97   0.08   4.1
Xe         15.4         14.37    1.00  15.4   3.1 15.03 d 0.06  15.1     3.1
^133^Cs    15.6         12.28    0.69  13.0       13.48   0.04  13.5
Cs         15.6    0.8  12.28    0.69  13.0   0.7 13.48   0.04  13.5     1.0
^134^Ba   +12.5 d       88.22    4.16  92.4       +0.64 d 0.25  +0.9  d
^135^Ba    30.2         22.18    1.58  23.8       28.38   0.11  28.5
^136^Ba   +13.7 d       91.19    4.06  95.2       +1.04 d 0.27  +1.3  d
^137^Ba    67.3         62.28    9.41  71.7       62.63   0.58  63.2
^138^Ba    94.2         83.17    2.48  85.6       91.72   0.10  91.8
Ba         88.7    5.3  77.38    3.35  80.7   5.2 85.03   0.17  85.2     6.7
^139^La    71.0         60.79    1.68  62.5       75.40   0.07  75.5
La         71.1    3.6  60.79    1.68  62.5   1.5 75.40   0.07  75.5     5.3
^140^Ce    89.5         80.20    1.49  81.7       91.92   0.05  92.0
^142^Ce    19.3         23.76    2.77  26.5       19.46   0.07  19.5
Ce         81.3    4.1  73.58    1.62  75.2   1.6 83.47   0.05  83.5     5.9
^141^Pr    51.7         46.83    0.89  47.7       49.86   0.03  49.9
Pr         51.7    3.6  46.83    0.89  47.7   1.3 49.86   0.03  49.9     4.3
^142^Nd    97.6         89.31    0.99  90.3       98.31   0.04  98.3
^143^Nd    32.7         30.89    0.69  31.6       32.84   0.02  32.9
^144^Nd    52.2         49.41    1.19  50.6       52.19   0.03  52.2
^145^Nd    26.3         26.73    0.69  27.4       26.15   0.02  26.2
^146^Nd    65.5         62.38    1.58  64.0       65.98   0.04  66.0
^148^Nd    19.2         15.15    0.59  15.7       17.33   0.01  17.3
Nd         57.3    2.9  53.48    1.00  54.5   1.0 57.51 d 0.03  57.5     4.1
^147^Sm    26.2         20.00    0.50  20.5       26.45   0.02  26.5
^148^Sm    +2.2 d       97.13    2.48  99.6       +3.37 d 0.07  +3.4  d
^149^Sm    12.6         12.18    0.30  12.5       12.87   0.01  12.9
^150^Sm   100.0         97.13    2.77  99.9       99.93   0.07 100.0
^152^Sm    23.1         22.18    0.69  22.9       22.80   0.02  22.8
^154^Sm     2.7          0.59    0.00   0.6        2.48   0.00   2.5
Sm         31.3    1.6  28.83    0.78  29.6   0.5 31.40   0.02  31.4     2.2
^151^Eu     6.0          6.34    0.20   6.5        5.87   0.00   5.9
^153^Eu     5.9          4.95    0.10   5.0        6.13   0.00   6.1
Eu          6.0    0.3   5.61    0.15   5.8   0.1  6.01   0.00   6.0     0.4
^152^Gd c  70.5         85.74    1.49  87.2       86.55   0.04  86.6
^154^Gd    88.0         93.07    2.57  95.6       89.08   0.07  89.1
^155^Gd     5.7          5.74    0.20   5.9        6.02   0.00   6.0
^156^Gd    16.9         16.53    0.50  17.0       17.84   0.01  17.9
^157^Gd    10.6         10.40    0.30  10.7       11.05   0.01  11.1
^158^Gd    27.1         26.63    0.79  27.4       27.46   0.02  27.5
^160^Gd     0.6          0.98    0.00   1.0        0.69   0.00   0.7
Gd         13.5    0.7  14.89    0.43  15.3   0.3 15.36   0.01  15.4     1.1
^159^Tb     8.4          7.03    0.20   7.2        7.96   0.01   8.0
Tb          8.4    0.6   7.03    0.20   7.2   0.2  7.96   0.01   8.0     0.7
^160^Dy    91.3         98.12    3.07  +1.2 cd    90.00   0.07  90.1
^161^Dy     5.2          5.25    0.20   5.4        5.27   0.00   5.3
^162^Dy    16.0         14.55    0.50  15.0       16.01   0.01  16.0
^163^Dy     4.3          3.47    0.10   3.6        4.41   0.00   4.4
^164^Dy    23.0         16.34    0.59  16.9       23.92   0.02  23.9
Dy         14.8    0.7  12.46    0.43  12.9   0.2 15.03   0.01  15.0     1.1
^165^Ho     8.1          7.43    0.20   7.6        8.34   0.01   8.3
Ho          8.1    0.6   7.43    0.20   7.6   0.2  8.34   0.01   8.3     0.7
^164^Er c  74.5         80.20    2.38  82.6       83.31   0.06  83.4
^166^Er    15.9         14.26    0.50  14.8       16.72   0.01  16.7
^167^Er     9.2          8.32    0.30   8.6        9.43   0.01   9.4
^168^Er    28.6         27.72    0.99  28.7       31.42   0.03  31.4
^170^Er    12.3          5.64    0.30   5.9       12.57   0.01  12.6
Er         18.2    0.9  16.28    0.58  16.9   0.3 19.44   0.02  19.5     1.4
^169^Tm    12.2         12.97    0.50  13.5        9.13   0.01   9.1
Tm         12.2    0.9  12.97    0.50  13.5   0.4  9.13   0.01   9.1     0.8
^170^Yb    90.6        100.00    3.17  +3.2 d     95.77   0.07  95.8
^171^Yb    20.9         13.47    0.50  14.0       22.70   0.02  22.7
^172^Yb    43.9         29.31    0.99  30.3       43.88   0.04  43.9
^173^Yb    26.9         20.69    0.69  21.4       27.77   0.02  27.8
^174^Yb    60.5         48.02    1.68  49.7       60.81   0.05  60.9
^176^Yb     8.2         10.50    0.69  11.2        7.23   0.01   7.2
Yb         39.9    2.0  31.31    1.12  32.4   0.7 40.46   0.03  40.5     2.9
^175^Lu    17.8         17.13    0.59  17.7       18.04   0.02  18.1
^176^Lu    +1.2 d      +33.66 d  3.96 +37.6 d     +5.40 d 0.12  +5.5  d
Lu         20.2    1.0  20.42    0.69  21.1   0.4 20.50   0.02  20.5     1.5
^176^Hf    97.3         93.37    3.07  96.4       +0.03 d 0.07  +0.1  d
^177^Hf    17.2         17.72    0.69  18.4       17.33   0.01  17.3
^178^Hf    58.5         55.05    1.98  57.0       57.46   0.05  57.5
^179^Hf    41.0         35.54    1.29  36.8       41.15   0.04  41.2
^180^Hf    88.8         73.07    2.77  75.8       89.29   0.08  89.4
Hf         61.0    3.1  53.68    1.98  55.7   1.3 61.07   0.05  61.1     4.3
^180^Ta c  75.5         46.93    1.49  48.4       81.99   0.05  82.0
^181^Ta    46.5         40.00    1.51  41.5       46.52   0.04  46.6
Ta         46.5    4.7  40.00    1.51  41.5   0.9 46.52   0.04  46.6     5.2
^180^W  c   5.1          4.65    0.10   4.8        4.52   0.00   4.5
^182^W     60.6         45.45    1.58  47.0       63.75   0.06  63.8
^183^W     57.9         53.07    1.98  55.0       62.13   0.06  62.2
^184^W     77.8         68.22    2.48  70.7       78.75   0.07  78.8
^186^W     58.5         44.85    1.98  46.8       42.36   0.05  42.4
W          64.8    6.5  53.30    2.02  55.3   2.9 61.96   0.06  62.0     6.9
^185^Re    27.4         23.86    0.89  24.8       26.96   0.02  27.0
^187^Re    10.0          8.42    0.10   8.5        9.38   0.01   9.4
Re         16.2    1.6  13.92    0.38  14.3   1.4 15.65   0.02  15.7     1.8
^186^Os   +11.6 d       97.52    3.17  +0.7 d     +3.37 d 0.09  +3.5  d
^187^Os    39.9         42.28    2.67  45.0       37.40   0.03  37.4
^188^Os    29.6         18.51    0.69  19.2       28.17   0.03  28.2
^189^Os     4.5          4.16    0.20   4.4        4.81   0.01   4.8
^190^Os    14.6         11.58    0.50  12.1       14.59   0.02  14.6
^192^Os     3.5          0.89    0.00   0.9        3.30   0.00   3.3
Os         12.3    1.0   8.67    0.34   9.0   0.6 11.88   0.01  11.9     1.1
^191^Ir     2.0          1.78    0.10   1.9        1.92   0.00   1.9
^193^Ir     1.3          0.99    0.00   1.0        1.42   0.00   1.4
Ir          1.6    0.1   1.29    0.04   1.3   0.1  1.60   0.00   1.6     0.1
^192^Pt    87.1         98.22    3.37  +1.6 d     81.08   0.08  81.2
^194^Pt     6.6          3.86    0.10   4.0        4.93   0.01   4.9
^195^Pt     2.6          1.58    0.10   1.7        2.00   0.00   2.0
^196^Pt    13.2          9.41    0.30   9.7       12.26   0.01  12.3
^198^Pt     0.0          0.00    0.00   0.0        0.09   0.00   0.1
Pt          7.1    0.6   4.95    0.17   5.1   0.4  6.04   0.01   6.0     0.6
^197^Au     5.9          5.64    0.20   5.8        6.05   0.01   6.1
Au          5.9    0.6   5.64    0.20   5.8   0.9  6.05   0.01   6.1     0.7
^198^Hg    82.6        100.00    3.37  +3.4 d     82.70   0.09  82.8
^199^Hg    21.7         25.84    0.89  26.7       21.59   0.02  21.6
^200^Hg    52.4         62.77    1.98  64.8       51.89   0.05  51.9
^201^Hg    39.7         47.13    1.49  48.6       39.83   0.04  39.9
^202^Hg    65.3         78.02    2.28  80.3       70.33   0.08  70.4
^204^Hg     8.0          9.21    0.00   9.2        8.18   0.01   8.2
Hg         49.3    9.9  58.97    1.82  60.8   7.3 50.69   0.05  50.7    10.5
^203^Tl    83.1         72.08    2.18  74.3       80.57   0.09  80.7
^205^Tl    62.8         75.15    1.98  77.1       66.69   0.06  66.7
Tl         68.8    5.5  74.24    2.04  76.3   7.2 70.79   0.07  70.9     6.7
^204^Pb    96.7         92.87    2.57  95.4       86.85   0.10  87.0
^206^Pb    66.6         61.88    1.39  63.3       72.87   0.07  72.9
^207^Pb    57.8         80.00    1.39  81.4       70.13   0.05  70.2
^208^Pb    41.6         92.67    1.19  93.9       97.70   0.04  97.7
Pb         50.7    3.6  84.35    1.29  85.6   6.8 87.20   0.05  87.2     7.5
^209^Bi     6.3         18.22    0.59  18.8       20.37   0.03  20.4
Bi          6.3    0.6  18.22    0.59  18.8   1.6 20.37   0.03  20.4     2.1
